Locality,LocalityCode
Australia - English,en-au
Belgium - Dutch,nl-be
Belgium - French,fr-be
Brazil - Portuguese,pt-br
Canada - English,en-ca
Canada - French,fr-ca
Czech Republic - Czech,cs-cz
Denmark - Danish,da-dk
Finland - Finnish,fi-fi
Finland - Swedish,sv-fi
France - French,fr-fr
Germany - German,de-de
Hong Kong - Chinese,zh-hk
Hong Kong - English,en-hk
Hungary - Hungarian,hu-hu
Italy - Italian,it-it
Japan - Japanese,ja-jp
Korea - Korean,ko-kr
Latin America - Spanish,es-la
Mexico - Spanish,es-mx
Netherlands - Dutch,nl-nl
Norway - Norwegian,no-no
Poland - Polish,pl-pl
Romania - Romanian,ro-ro
Saudi Arabia - Arabic,ar-sa
Slovakia - Slovak,sk-sk
South Africa - English,en-za
Spain - Spanish,es-es
Sweden - Swedish,sv-se
Taiwan - Chinese,zh-tw
United Kingdom - English,en-gb
USA - English,en-us
USA - Spanish,es-us
